name,carrier,bus,emission_factor,p_nom,p_min,efficiency,marginal_cost,startup costs,technology,status
Unit_453,Biomass,495,0,159.1,31.82,1,0,0,Steam turbine,Market
Unit_454,Biomass,84,0,25.9,5.18,1,0,0,Steam turbine,Market
Unit_455,Biomass,412,0,26.9,5.38,1,0,0,Steam turbine,Market
Unit_456,Biomass,83,0,0.1,0.02,1,0,0,Steam turbine,Market
Unit_457,Biomass,22,0,38.8,7.76,1,0,0,Steam turbine,Market
Unit_458,Biomass,8,0,28.3,5.66,1,0,0,Steam turbine,Market
Unit_459,Biomass,333,0,116.4,23.28,1,0,0,Steam turbine,Market
Unit_460,Biomass,28,0,13.8,2.76,1,0,0,Steam turbine,Market
Unit_461,Biomass,24,0,83,16.6,1,0,0,Steam turbine,Market
Unit_462,Biomass,23,0,34.5,6.9,1,0,0,Steam turbine,Market
Unit_463,Biomass,402,0,18.6,3.72,1,0,0,Steam turbine,Market
Unit_464,Biomass,21,0,16.6,3.32,1,0,0,Steam turbine,Market
Unit_465,Biomass,183,0,64.4,12.88,1,0,0,Steam turbine,Market
Unit_466,Biomass,295,0,5.8,1.16,1,0,0,Steam turbine,Market
Unit_467,Biomass,482,0,1.1,0.22,1,0,0,Steam turbine,Market
Unit_468,Biomass,16,0,101.8,20.36,1,0,0,Steam turbine,Market
Unit_469,Biomass,426,0,16.6,3.32,1,0,0,Steam turbine,Market
Unit_470,Biomass,49,0,17.7,3.54,1,0,0,Steam turbine,Market
Unit_471,Biomass,259,0,18.3,3.66,1,0,0,Steam turbine,Market
Unit_472,Biomass,301,0,19.1,3.82,1,0,0,Steam turbine,Market
Unit_473,Biomass,425,0,9.1,1.82,1,0,0,Steam turbine,Market
Unit_474,Biomass,258,0,57.5,11.5,1,0,0,Steam turbine,Market
Unit_475,Biomass,380,0,121.8,24.36,1,0,0,Steam turbine,Market
Unit_476,Biomass,300,0,140.3,28.06,1,0,0,Steam turbine,Market
Unit_477,Biomass,210,0,29.3,5.86,1,0,0,Steam turbine,Market
Unit_478,Biomass,226,0,58.2,11.64,1,0,0,Steam turbine,Market
Unit_479,Biomass,481,0,7.2,1.44,1,0,0,Steam turbine,Market
Unit_480,Biomass,296,0,63.4,12.68,1,0,0,Steam turbine,Market
Unit_481,Biomass,376,0,15.5,3.1,1,0,0,Steam turbine,Market
Unit_482,Biomass,299,0,70.5,14.1,1,0,0,Steam turbine,Market
Unit_483,Biomass,369,0,51,10.2,1,0,0,Steam turbine,Market
Unit_484,Biomass,102,0,176.4,35.28,1,0,0,Steam turbine,Market
Unit_485,Biomass,9,0,38.3,7.66,1,0,0,Steam turbine,Market
Unit_486,Biomass,62,0,13.6,2.72,1,0,0,Steam turbine,Market
Unit_487,Biomass,201,0,134.4,26.88,1,0,0,Steam turbine,Market
Unit_488,Biomass,30,0,23.6,4.72,1,0,0,Steam turbine,Market
Unit_489,Biomass,29,0,41.8,8.36,1,0,0,Steam turbine,Market
Unit_490,Biomass,474,0,29.6,5.92,1,0,0,Steam turbine,Market
Unit_491,Biomass,59,0,73.8,14.76,1,0,0,Steam turbine,Market
Unit_492,Biomass,270,0,75,15,1,0,0,Steam turbine,Market
Unit_493,Biomass,159,0,23.7,4.74,1,0,0,Steam turbine,Market
Unit_494,Biomass,265,0,3,0.6,1,0,0,Steam turbine,Market
Unit_495,Biomass,34,0,1.2,0.24,1,0,0,Steam turbine,Market
Unit_496,Biomass,285,0,119.5,23.9,1,0,0,Steam turbine,Market
Unit_497,Biomass,93,0,174.4,34.88,1,0,0,Steam turbine,Market
Unit_498,Biomass,36,0,19.6,3.92,1,0,0,Steam turbine,Market
Unit_499,Biomass,85,0,158,31.6,1,0,0,Steam turbine,Market
Unit_500,Biomass,221,0,7.8,1.56,1,0,0,Steam turbine,Market
Unit_501,Biomass,95,0,76.5,15.3,1,0,0,Steam turbine,Market
Unit_502,Biomass,60,0,17.3,3.46,1,0,0,Steam turbine,Market
Unit_503,Biomass,160,0,8,1.6,1,0,0,Steam turbine,Market
Unit_504,Biomass,455,0,94.4,18.88,1,0,0,Steam turbine,Market
Unit_505,Biomass,200,0,8.5,1.7,1,0,0,Steam turbine,Market
Unit_506,Biomass,169,0,5,1,1,0,0,Steam turbine,Market
Unit_507,Biomass,176,0,0.5,0.1,1,0,0,Steam turbine,Market
Unit_508,Biomass,153,0,19.1,3.82,1,0,0,Steam turbine,Market
Unit_509,Biomass,170,0,10.6,2.12,1,0,0,Steam turbine,Market
Unit_510,Biomass,130,0,3.9,0.78,1,0,0,Steam turbine,Market
Unit_511,Biomass,126,0,2.8,0.56,1,0,0,Steam turbine,Market
Unit_512,Biomass,137,0,41.3,8.26,1,0,0,Steam turbine,Market
Unit_513,Biomass,132,0,4.3,0.86,1,0,0,Steam turbine,Market
Unit_514,Biomass,151,0,9,1.8,1,0,0,Steam turbine,Market
Unit_515,Biomass,197,0,15.4,3.08,1,0,0,Steam turbine,Market
Unit_516,Biomass,118,0,0.2,0.04,1,0,0,Steam turbine,Market
Unit_517,Biomass,154,0,12.4,2.48,1,0,0,Steam turbine,Market
Unit_518,Biomass,122,0,13.4,2.68,1,0,0,Steam turbine,Market
Unit_519,Biomass,119,0,11.9,2.38,1,0,0,Steam turbine,Market
Unit_520,Biomass,134,0,4,0.8,1,0,0,Steam turbine,Market
Unit_521,Biomass,453,0,12.9,2.58,1,0,0,Steam turbine,Market
Unit_522,Biomass,431,0,12.3,2.46,1,0,0,Steam turbine,Market
Unit_523,Biomass,204,0,6.7,1.34,1,0,0,Steam turbine,Market
Unit_524,Biomass,149,0,3.9,0.78,1,0,0,Steam turbine,Market
Unit_525,Biomass,104,0,5.8,1.16,1,0,0,Steam turbine,Market
Unit_526,Biomass,113,0,3.6,0.72,1,0,0,Steam turbine,Market
Unit_527,Biomass,374,0,8.3,1.66,1,0,0,Steam turbine,Market
Unit_528,Biomass,90,0,19.9,3.98,1,0,0,Steam turbine,Market
Unit_529,Biomass,142,0,24.6,4.92,1,0,0,Steam turbine,Market
Unit_530,Biomass,289,0,54.8,10.96,1,0,0,Steam turbine,Market
Unit_531,Biomass,472,0,26.4,5.28,1,0,0,Steam turbine,Market
Unit_532,Biomass,219,0,47.2,9.44,1,0,0,Steam turbine,Market
Unit_533,Biomass,157,0,44,8.8,1,0,0,Steam turbine,Market
Unit_534,Biomass,490,0,28.8,5.76,1,0,0,Steam turbine,Market
Unit_535,Biomass,386,0,51.3,10.26,1,0,0,Steam turbine,Market
Unit_536,Biomass,209,0,28.3,5.66,1,0,0,Steam turbine,Market
Unit_537,Biomass,411,0,24.4,4.88,1,0,0,Steam turbine,Market
Unit_538,Biomass,144,0,5.8,1.16,1,0,0,Steam turbine,Market
Unit_539,Biomass,363,0,4.5,0.9,1,0,0,Steam turbine,Market
Unit_540,Biomass,147,0,16.9,3.38,1,0,0,Steam turbine,Market
Unit_541,Biomass,470,0,2.3,0.46,1,0,0,Steam turbine,Market
Unit_542,Biomass,109,0,4.3,0.86,1,0,0,Steam turbine,Market
Unit_543,Biomass,114,0,36.5,7.3,1,0,0,Steam turbine,Market
Unit_544,Biomass,178,0,6.6,1.32,1,0,0,Steam turbine,Market
Unit_545,Biomass,110,0,33.9,6.78,1,0,0,Steam turbine,Market
Unit_546,Biomass,166,0,45.2,9.04,1,0,0,Steam turbine,Market
Unit_547,Biomass,213,0,7.1,1.42,1,0,0,Steam turbine,Market
Unit_548,Biomass,492,0,20.5,4.1,1,0,0,Steam turbine,Market
Unit_549,Biomass,494,0,0.8,0.16,1,0,0,Steam turbine,Market
Unit_550,Biomass,70,0,42.4,8.48,1,0,0,Steam turbine,Market
Unit_551,Biomass,228,0,5.3,1.06,1,0,0,Steam turbine,Market
